problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
CONT-050,clarabel,default,0.07725720099915634,True,1.5987211554602254e-14,6.22475909224839e-17,2.284804345720204e-09
CONT-050,clarabel,high_accuracy,0.08322315700206673,True,3.042011087472929e-13,1.1102230246251565e-16,2.2491564166671196e-11
CONT-050,clarabel,low_accuracy,0.06409463499949197,True,6.750155989720952e-14,8.261112334571191e-17,2.2844297647095502e-05
CONT-050,clarabel,mid_accuracy,0.07078724200255238,True,8.615330671091215e-13,5.994321804054145e-17,2.2848374703343666e-07
CONT-050,cvxopt,default,2.5119265659996017,True,2.220446049250313e-15,5.617380697706725e-17,8.638879500644236e-08
CONT-050,cvxopt,high_accuracy,2.5477783019996423,True,2.220446049250313e-15,5.617380697706725e-17,8.638879500644236e-08
CONT-050,cvxopt,low_accuracy,2.547014316001878,True,2.220446049250313e-15,5.617380697706725e-17,8.638879500644236e-08
CONT-050,cvxopt,mid_accuracy,2.5484752869997465,True,2.220446049250313e-15,5.617380697706725e-17,8.638879500644236e-08
CONT-050,gurobi,default,0.027961554002104094,False,inf,inf,inf
CONT-050,gurobi,high_accuracy,0.027108807997137774,False,inf,inf,inf
CONT-050,gurobi,low_accuracy,0.02090266300001531,False,inf,inf,inf
CONT-050,gurobi,mid_accuracy,0.013951323999208398,False,inf,inf,inf
CONT-050,highs,default,3.9305889699971885,True,1.8475598828615603e-10,3.518493032609628e-07,0.0020321816473855003
CONT-050,highs,high_accuracy,3.910148503000528,True,1.8475598828615603e-10,3.518493032609628e-07,0.0020321816473855003
CONT-050,highs,low_accuracy,3.0891696180005965,True,1.6570012029148984e-10,4.466626227968848e-07,0.7564332411065995
CONT-050,highs,mid_accuracy,3.9044530219980516,True,1.8475598828615603e-10,3.518493032609628e-07,0.0020321816473855003
CONT-050,osqp,default,0.018290086998604238,True,0.004428234284698629,6.96200186827518e-07,0.006221012672110687
CONT-050,osqp,high_accuracy,1.1004701559977548,True,9.341416529196067e-12,2.855029580806079e-14,1.5696377531071448e-10
CONT-050,osqp,low_accuracy,0.43039408899858245,True,0.0005635292965053829,1.319724710235044e-05,0.0580885796912336
CONT-050,osqp,mid_accuracy,0.8049324480016367,True,1.0933848049177186e-08,3.089396522892168e-11,1.7048130784846904e-07
CONT-050,piqp,default,0.05396343400207115,True,2.220446049250313e-15,4.461527755286423e-12,1.6752375042727863e-09
CONT-050,piqp,high_accuracy,0.05789511400143965,True,2.220446049250313e-15,4.589786054520249e-14,1.746014444137245e-11
CONT-050,piqp,low_accuracy,0.04598678700131131,True,1.694822060471779e-11,2.0205134227987154e-08,1.5237504389919998e-05
CONT-050,piqp,mid_accuracy,0.05015574299977743,True,1.745270594710746e-13,3.740464133799732e-10,1.6235750310844566e-07
CONT-050,proxqp,default,0.7191775089995645,True,2.887038736965053e-07,1.1100035833089099e-08,3.834185199080853e-05
CONT-050,proxqp,high_accuracy,0.7243458080010896,True,2.757447603585206e-10,4.4947276152743076e-13,9.644810505804458e-10
CONT-050,proxqp,low_accuracy,0.7172173079998174,True,2.887038736965053e-07,1.1100035833089099e-08,3.834185199080853e-05
CONT-050,proxqp,mid_accuracy,0.7186255990018253,True,1.96706149147019e-08,5.8101488843633614e-11,1.8847284521950058e-07
CONT-050,qpalm,default,0.026531511997745838,True,2.7661632763908983e-05,6.535872751676055e-07,0.00010445463631447716
CONT-050,qpalm,high_accuracy,0.03725914599999669,True,3.865823217097386e-10,3.1412372702988023e-12,4.154789512433865e-09
CONT-050,qpalm,low_accuracy,0.026557173998298822,True,2.7661632763908983e-05,6.535872751676055e-07,0.00010445463631447716
CONT-050,qpalm,mid_accuracy,0.032847748003405286,True,7.842808269487023e-08,6.352087141871243e-10,1.722495630573917e-07
CONT-050,scs,default,0.49824674599949503,True,0.00038485986110581294,1.3631833674018767e-08,1.6823109603159025e-06
CONT-050,scs,high_accuracy,0.6127797449989885,True,2.4353856709069532e-09,1.0839202799206582e-13,1.0009215678508099e-11
CONT-050,scs,low_accuracy,0.4508208769984776,True,5.665324303016916e-07,1.4224080061020494e-07,1.2361949283890006e-05
CONT-050,scs,mid_accuracy,0.580028812000819,True,5.703957306479879e-10,8.656250390960685e-11,9.386127763910679e-09
CONT-100,clarabel,default,0.6384845209977357,True,5.595524044110789e-14,1.1102230246251565e-16,1.3970307022326267e-08
CONT-100,clarabel,high_accuracy,0.6744007870001951,True,4.973799150320701e-14,8.140438083792263e-17,1.3908862950273715e-10
CONT-100,clarabel,low_accuracy,0.5082481450008345,True,1.9593215938584763e-12,1.0015995194692651e-16,0.00013840121248653858
CONT-100,clarabel,mid_accuracy,0.6156956710001396,True,5.595524044110789e-14,1.1102230246251565e-16,1.3970307022326267e-08
CONT-100,cvxopt,default,35.96216142399862,True,2.220446049250313e-15,8.037728570556551e-17,3.51359301653531e-08
CONT-100,cvxopt,high_accuracy,35.96208411599946,True,2.220446049250313e-15,8.037728570556551e-17,3.51359301653531e-08
CONT-100,cvxopt,low_accuracy,35.95618176399876,True,2.220446049250313e-15,8.037728570556551e-17,3.51359301653531e-08
CONT-100,cvxopt,mid_accuracy,35.94974184500097,True,2.220446049250313e-15,8.037728570556551e-17,3.51359301653531e-08
CONT-100,gurobi,default,0.08737722900332301,False,inf,inf,inf
CONT-100,gurobi,high_accuracy,0.04970135699841194,False,inf,inf,inf
CONT-100,gurobi,low_accuracy,0.04883936600162997,False,inf,inf,inf
CONT-100,gurobi,mid_accuracy,0.04890236500068568,False,inf,inf,inf
CONT-100,highs,default,0.0,False,inf,inf,inf
CONT-100,highs,high_accuracy,0.0,False,inf,inf,inf
CONT-100,highs,low_accuracy,0.0,False,inf,inf,inf
CONT-100,highs,mid_accuracy,0.0,False,inf,inf,inf
CONT-100,osqp,default,0.08366313200167497,True,0.002887175659435748,1.7806331288036702e-07,0.005088364804547393
CONT-100,osqp,high_accuracy,6.047359810996568,False,inf,inf,inf
CONT-100,osqp,low_accuracy,5.826363058000425,True,0.0009765188007908598,3.3855610149919386e-05,0.01446919775152089
CONT-100,osqp,mid_accuracy,6.036249994998798,False,inf,inf,inf
CONT-100,piqp,default,0.4720438180011115,True,3.1086244689504383e-15,1.0278796635375528e-11,5.603276731491746e-10
CONT-100,piqp,high_accuracy,0.49463590800223756,True,3.1086244689504383e-15,1.0278796635375528e-11,5.603276731491746e-10
CONT-100,piqp,low_accuracy,0.43106378599986783,True,1.2185363829075868e-11,1.9432678740123707e-08,3.69117368232974e-05
CONT-100,piqp,mid_accuracy,0.4623073450020456,True,2.7977620220553945e-13,7.621897466956377e-10,1.9726739153291817e-07
CONT-100,proxqp,default,0.0,False,inf,inf,inf
CONT-100,proxqp,high_accuracy,0.0,False,inf,inf,inf
CONT-100,proxqp,low_accuracy,0.0,False,inf,inf,inf
CONT-100,proxqp,mid_accuracy,0.0,False,inf,inf,inf
CONT-100,qpalm,default,0.7894887090005795,True,2.6983940818237073e-05,2.0222959036287095e-07,0.0003845797052631772
CONT-100,qpalm,high_accuracy,0.8569107939983951,True,2.3172574969976267e-10,3.08099639377505e-10,4.692139565776188e-09
CONT-100,qpalm,low_accuracy,0.7498078910030017,True,0.0005063206248614449,3.480217443329009e-08,0.0037926643564638596
CONT-100,qpalm,mid_accuracy,0.8591722780001874,True,2.0250135390753599e-07,1.429602553281199e-09,4.577953911510946e-06
CONT-100,scs,default,8.865180249002151,True,0.0005793702990195548,5.336570058967795e-08,6.742266235315597e-07
CONT-100,scs,high_accuracy,10.107133569003054,False,inf,inf,inf
CONT-100,scs,low_accuracy,5.247971003998828,True,0.0005463745848923729,1.6118721647673771e-09,4.243179636542749e-07
CONT-100,scs,mid_accuracy,10.126818376000301,False,inf,inf,inf
CONT-101,clarabel,default,0.7723794949997682,True,1.6862067298006878e-12,2.306305226300081e-16,8.533670348506586e-10
CONT-101,clarabel,high_accuracy,0.8215028199992958,True,3.1602082062320846e-12,2.925122072607516e-16,2.4271483543855202e-12
CONT-101,clarabel,low_accuracy,0.6445480790025613,True,6.308759070705605e-12,2.203731012089107e-16,8.925779181256104e-06
CONT-101,clarabel,mid_accuracy,0.706037636999099,True,1.511625584372527e-12,2.8256986528194855e-16,8.912276130342976e-08
CONT-101,cvxopt,default,33.89148447600019,True,8.984368804476617e-12,2.5944971890028526e-16,1.1493847553420955e-08
CONT-101,cvxopt,high_accuracy,33.864856697000505,True,8.984368804476617e-12,2.5944971890028526e-16,1.1493847553420955e-08
CONT-101,cvxopt,low_accuracy,33.880151691999345,True,8.984368804476617e-12,2.5944971890028526e-16,1.1493847553420955e-08
CONT-101,cvxopt,mid_accuracy,33.870395917998394,True,8.984368804476617e-12,2.5944971890028526e-16,1.1493847553420955e-08
CONT-101,gurobi,default,0.08739785999932792,False,inf,inf,inf
CONT-101,gurobi,high_accuracy,0.048676395999791566,False,inf,inf,inf
CONT-101,gurobi,low_accuracy,0.04963897800189443,False,inf,inf,inf
CONT-101,gurobi,mid_accuracy,0.048914250000962056,False,inf,inf,inf
CONT-101,highs,default,0.0,False,inf,inf,inf
CONT-101,highs,high_accuracy,0.0,False,inf,inf,inf
CONT-101,highs,low_accuracy,0.0,False,inf,inf,inf
